sku,licenseFeeCents,licenseMaterial,licenseWeightKg
10012,446,LK,4.5
10013,465,LK,4.7
10014,594,LK,6
10015,545,LK,5.5
10016,495,LK,5
10020,861,LK,8.7
10025,604,LK,6.1
10027,693,LK,7
10030,960,LK,9.7
10031,1188,LK,12
10033,693,LK,7
10034,545,LK,5.5
10035,475,LK,4.8
10040,733,LK,7.4
10050,921,LK,9.3
10055,644,LK,6.5
10059,495,LK,5
10060,446,LK,4.5
10061,792,LK,8
10062,396,LK,4
10063,455,LK,4.6
10064,549,LK,5.55
10080,767,LK,7.75
10120,253,LK,2.56
10130,305,LK,3.08
10135,406,LK,4.1
10145,990,LK,10
10150,495,LK,5
10156,743,LK,7.5
10160,594,LK,6
10179,200,LP,8
10180,297,LK,3
10181,198,LK,2
10182,153,LK,1.55
10183,152,LK,1.54
10184,198,LK,2
10185,228,LK,2.3
10186,366,LK,3.7
10187,455,LK,4.6
10188,396,LK,4
10195,1059,LK,10.7
10196,1337,LK,13.5
10197,792,LK,8
10198,1238,LK,12.5
10199,891,LK,9
10200,891,LK,9
10201,594,LK,6
10202,20,LK,0.2
10203,594,LK,6
10210,495,LK,5
10300,113,LP,4.5
10301,163,LP,6.5
10302,175,LP,7
10303,213,LP,8.5
10306,225,LP,9
10307,300,LP,12
10308,394,LP,15.75
10309,205,LP,8.2
10310,313,LP,12.5
10311,290,LP,11.6
10400,105,LP,4.2
10401,150,LP,6
10402,163,LP,6.5
10403,225,LP,9
10406,213,LP,8.5
10407,275,LP,11
10408,300,LP,12
10416,75,LP,3
10417,83,LP,3.3
10418,83,LP,3.3
10422,108,LP,4.3
10424,143,LP,5.7
10426,133,LP,5.3
10428,183,LP,7.3
10430,190,LP,7.6
10435,275,LP,11
10446,50,LP,2
10450,876,LK,8.85
10501,776,LK,7.84
10502,705,LK,7.12
10534,1287,LK,13
10540,802,LK,8.1
10541,327,LK,3.3
10552,510,LK,5.15
10635,242,LP,9.7
10636,250,LP,10
10703,350,LP,14
10704,275,LP,11
10705,325,LP,13
10762,60,LP,2.4
10763,45,LP,1.8
10764,113,LP,4.5
10768,35,LP,1.4
10769,43,LP,1.7
10770,56,LP,2.25
10771,68,LP,2.7
10779,366,LK,3.7
10783,360,LP,14.4
10789,376,LK,3.8
10801,144,LK,1.45
10803,345,LP,13.8
10804,255,LP,10.2
